1,Bulbasaur,4
2,Ivysaur,4
3,Venusaur,5
4,Charmander,4
5,Charmeleon,4
6,Charizard,5
7,Squirtle,3
8,Wartortle,4
9,Blastoise,5
10,Caterpie,1
11,Metapod,2
12,Butterfree,3
13,Weedle,1
14,Kakuna,2
15,Beedrill,3
16,Pidgey,1
17,Pidgeotto,1
18,Pidgeot,3
19,Rattata,1
20,Raticate,3
21,Spearow,1
22,Fearow,2
23,Ekans,3
24,Arbok,4
25,Pikachu,4
26,Raichu,5
27,Sandshrew,3
28,Sandslash,4
29,Nidoran_F,1
30,Nidorina,1
31,Nidoqueen,3
32,Nidoran_M,1
33,Nidorino,1
34,Nidoking,3
35,Clefairy,1
36,Clefable,2
37,Vulpix,4
38,Ninetales,5
39,Jigglypuff,3
40,Wigglytuff,3
41,Zubat,1
42,Golbat,1
43,Oddish,3
44,Gloom,3
45,Vileplume,5
46,Paras,1
47,Parasect,2
48,Venonat,1
49,Venomoth,2
50,Diglett,3
51,Dugtrio,4
52,Meowth,3
53,Persian,4
54,Psyduck,3
55,Golduck,4
56,Mankey,3
57,Primeape,4
58,Growlithe,4
59,Arcanine,5
60,Poliwag,2
61,Poliwhirl,3
62,Poliwrath,4
63,Abra,4
64,Kadabra,5
65,Alakazam,5
66,Machop,3
67,Machoke,4
68,Machamp,5
69,Bellsprout,3
70,Weepinbell,4
71,Victreebel,5
72,Tentacool,3
73,Tentacruel,4
74,Geodude,3
75,Graveler,5
76,Golem,5
77,Ponyta,3
78,Rapidash,4
79,Slowpoke,3
80,Slowbro,4
81,Magnemite,3
82,Magneton,4
83,Farfetch'd,5
84,Doduo,4
85,Dodrio,5
86,Seel,3
87,Dewgong,4
88,Grimer,3
89,Muk,4
90,Shellder,3
91,Cloyster,3
92,Gastly,3
93,Haunter,4
94,Gengar,5
95,Onix,4
96,Drowzee,1
97,Hypno,2
98,Krabby,3
99,Kingler,4
100,Voltorb,4
101,Electrode,5
102,Exeggcute,4
103,Exeggutor,5
104,Cubone,4
105,Marowak,5
106,Hitmonlee,5
107,Hitmonchan,3
108,Lickitung,4
109,Koffing,3
110,Weezing,4
111,Rhyhorn,3
112,Rhydon,4
113,Chansey,4
114,Tangela,4
115,Kangaskhan,5
116,Horsea,3
117,Seadra,4
118,Goldeen,3
119,Seaking,4
120,Staryu,3
121,Starmie,4
122,Mr.Mime,5
123,Scyther,5
124,Jynx,2
125,Electabuzz,4
126,Magmar,4
127,Pinsir,4
128,Tauros,2
129,Magikarp,3
130,Gyarados,5
131,Lapras,5
132,Ditto,5
133,Eevee,2
134,Vaporeon,3
135,Jolteon,3
136,Flareon,3
137,Porygon,5
138,Omanyte,4
139,Omastar,5
140,Kabuto,4
141,Kabutops,5
142,Aerodactyl,4
143,Snorlax,5
144,Articuno,5
145,Zapdos,5
146,Moltres,5
147,Dratini,3
148,Dragonair,3
149,Dragonite,4
150,Mewtwo,5
151,Mew,5
